scorer,,,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip,Filip
bodyparts,,,front_left_leg,front_left_leg,front_right_leg,front_right_leg,rear_left_leg,rear_left_leg,rear_right_leg,rear_right_leg,cerci,cerci,head,head,left_led,left_led,right_led,right_led
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2022-08-04_160840_013,img02722.png,166.9252888401213,430.91210223972104,128.7557929387465,389.96664300006444,190.52097721551667,417.032285548312,171.78322468211445,366.37095462466914,197.46088556122118,379.55678048150764,132.91973794616922,421.8902213903052,,,476.4452010585425,364.9829729555282
labeled-data,2022-08-04_160840_013,img02765.png,121.12189375847154,410.78636803717797,123.20386626218291,358.7370554443942,166.23129800555088,412.86834054088933,144.7175821338669,365.6769637900986,173.17120635125536,392.04861550377575,98.22019621764667,378.16879881236673,,,,
labeled-data,2022-08-04_160840_013,img06098.png,85.72836119537854,113.06430000645446,142.63560963015553,70.73085909765695,123.89785709675334,135.2720067127089,141.94161879558507,83.91668495449551,164.1493255018395,117.22824501387714,109.3240495707739,81.83471245078414,,,,
labeled-data,2022-08-04_160840_013,img07764.png,,,280.04579487510483,47.82916155683205,214.81065642548242,65.17893242109335,271.7179048602594,84.61067578906597,220.36258310204607,100.57246498418635,248.1222164848641,36.0313173691344,,,,
labeled-data,2022-08-04_160840_013,img17349.png,451.4615310140063,213.69297101916987,456.31946685599945,272.6821919576582,408.4340992706383,211.6109985154585,,,402.18818175950423,262.27232943910144,461.871393532563,234.5126960562834,,,,
labeled-data,2022-08-04_160840_013,img17418.png,442.43965016459043,190.09728264377452,459.7894210288517,255.33242109339693,412.598044278061,208.83503517717668,,,402.18818175950423,250.4744852514038,457.70744852514036,214.38696185374033,,,,
labeled-data,2022-08-04_160840_013,img17754.png,275.88184986768215,79.75273994707283,,,302.94749241592973,108.20636416446132,348.05689666300907,96.40851997676361,272.41189569482987,52.68709739882519,,,,,,
